period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2023-12,LA,Louisiana,ALL,all sectors,2455701,8.69,614.41323,7074.35436
2023-12,ME,Maine,ALL,all sectors,851039,22.14,201.39012,909.57582
2023-12,MD,Maryland,ALL,all sectors,2712852,14.96,737.07054,4927.44023
2023-12,MA,Massachusetts,ALL,all sectors,3353826,23.1,927.81839,4017.08953
2023-12,MI,Michigan,ALL,all sectors,5071884,13.78,1107.77412,8039.68803
2023-12,MN,Minnesota,ALL,all sectors,2884934,11.46,644.34564,5621.47769
2022-06,US,U.S. Total,ALL,all sectors,160432545,12.75,44271.98187,347106.33234
2024-01,IA,Iowa,ALL,all sectors,1721795,8.93,442.92216,4958.99005
2024-01,KS,Kansas,ALL,all sectors,1605142,10.89,397.55148,3652.10743
2024-01,KY,Kentucky,ALL,all sectors,2381767,10.61,731.15379,6893.33102
2024-01,LA,Louisiana,ALL,all sectors,2488041,8.41,675.48942,8033.55211
2024-07,MI,Michigan,ALL,all sectors,5103006,14.87,1448.50622,9740.86941
2024-07,MN,Minnesota,ALL,all sectors,2924644,13.33,811.70378,6088.49792
2024-07,MS,Mississippi,ALL,all sectors,1633144,10.99,557.34852,5069.3951
2024-07,MO,Missouri,ALL,all sectors,3290292,12.86,1007.96264,7839.50796
2024-07,MT,Montana,ALL,all sectors,691811,11.31,153.94656,1361.39563
2024-07,NE,Nebraska,ALL,all sectors,1143778,9.73,333.79083,3431.80881
2024-07,NV,Nevada,ALL,all sectors,1494540,11.59,566.1862,4886.43522
2024-07,NH,New Hampshire,ALL,all sectors,764733,19.74,225.48837,1142.23868
2024-07,NJ,New Jersey,ALL,all sectors,4278607,18.12,1527.86012,8431.67688
2024-07,NM,New Mexico,ALL,all sectors,1075334,10.43,309.08469,2964.01191
2024-07,AL,Alabama,ALL,all sectors,2802231,12.13,1060.24611,8742.89046
2024-07,AK,Alaska,ALL,all sectors,359488,22.06,103.61315,469.75863
2024-07,AZ,Arizona,ALL,all sectors,3446008,13.54,1474.74956,10893.37848
2024-07,AR,Arkansas,ALL,all sectors,1737674,9.93,503.01196,5063.64929
2024-07,CA,California,ALL,all sectors,16331144,30.39,7759.3232,25531.44162
2024-07,CO,Colorado,ALL,all sectors,2911024,13.06,731.39918,5599.25931
