period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2023-12,LA,Louisiana,COM,commercial,299081,10.75,182.7784,1700.61443
2023-12,ME,Maine,COM,commercial,109856,19.04,59.48103,312.3855
2023-12,MD,Maryland,COM,commercial,261535,12.84,279.87612,2180.03502
2023-12,MA,Massachusetts,COM,commercial,454710,19.74,378.51343,1917.87744
2023-12,MI,Michigan,COM,commercial,561050,13.23,391.09,2955.8464
2023-12,MN,Minnesota,COM,commercial,307932,11.39,211.27999,1854.82494
2022-06,US,U.S. Total,COM,commercial,19313913,12.75,15505.52043,121567.1717
2024-01,IA,Iowa,COM,commercial,251097,9.69,109.10061,1125.9219
2024-01,KS,Kansas,COM,commercial,248527,10.5,139.86824,1332.57008
2024-01,KY,Kentucky,COM,commercial,324553,11.63,196.38329,1688.78778
2024-01,LA,Louisiana,COM,commercial,300363,9.48,174.40708,1840.05679
2024-07,MI,Michigan,COM,commercial,564571,14.33,517.95566,3614.81134
2024-07,MN,Minnesota,COM,commercial,308959,13.11,271.83335,2072.94089
2024-07,MS,Mississippi,COM,commercial,245748,11.88,177.93553,1497.51531
2024-07,MO,Missouri,COM,commercial,386398,11.95,337.70409,2826.45612
2024-07,MT,Montana,COM,commercial,118234,12.26,55.43147,452.18204
2024-07,NE,Nebraska,COM,commercial,164023,9.19,104.79352,1140.86036
2024-07,NV,Nevada,COM,commercial,177845,9.85,136.10841,1381.98642
2024-07,NH,New Hampshire,COM,commercial,108229,18.93,72.632,383.73654
2024-07,NJ,New Jersey,COM,commercial,541189,15.85,566.23162,3572.83393
2024-07,NM,New Mexico,COM,commercial,147017,12.17,110.48019,908.03125
2024-07,AL,Alabama,COM,commercial,387682,13.45,311.52476,2315.67064
2024-07,AK,Alaska,COM,commercial,57782,21.15,44.45144,210.17424
2024-07,AZ,Arizona,COM,commercial,344939,13.08,499.48396,3817.69448
2024-07,AR,Arkansas,COM,commercial,210389,10.11,121.68017,1203.93183
2024-07,CA,California,COM,commercial,1800730,30.22,3325.52589,11003.75093
2024-07,CO,Colorado,COM,commercial,399258,13,247.94237,1906.89367
2024-07,CT,Connecticut,COM,commercial,157414,19.96,235.35443,1179.08027
2024-07,DE,Delaware,COM,commercial,60444,12.13,51.10303,421.34283
2024-07,DC,District of Columbia,COM,commercial,27576,17.1,120.82285,706.45908
2024-07,FL,Florida,COM,commercial,1297806,10.5,1029.77505,9810.16754
2024-07,GA,Georgia,COM,commercial,617250,12.36,609.95396,4936.63309
2024-07,HI,Hawaii,COM,commercial,59519,37.81,91.4876,241.98356
2024-07,ID,Idaho,COM,commercial,123494,9.72,63.70169,655.60112
2024-07,IL,Illinois,COM,commercial,633161,12.14,529.52576,4361.13821
2024-07,IN,Indiana,COM,commercial,377027,12.48,272.37575,2181.7284
2024-07,IA,Iowa,COM,commercial,251507,11.64,132.44474,1138.17865
2024-07,KS,Kansas,COM,commercial,249974,12.49,199.32995,1595.58306
2024-07,KY,Kentucky,COM,commercial,326592,11.33,214.41528,1891.90478
2024-07,LA,Louisiana,COM,commercial,303492,9.96,237.81097,2388.15082
2024-07,ME,Maine,COM,commercial,113218,16.88,65.02863,385.23428
2024-07,MD,Maryland,COM,commercial,261689,12.95,358.18198,2766.57044
2024-07,MA,Massachusetts,COM,commercial,441031,20.97,425.13732,2027.03975
2022-09,NV,Nevada,COM,commercial,173842,12.96,147.3444,1136.79767
2022-09,NH,New Hampshire,COM,commercial,111273,21.08,72.49506,343.94197
2022-09,NJ,New Jersey,COM,commercial,532782,14.12,437.34151,3097.15022
2022-09,NC,North Carolina,COM,commercial,741971,9.19,385.40081,4195.13853
2022-09,ND,North Dakota,COM,commercial,76963,8.84,59.36071,671.55123
2022-09,OH,Ohio,COM,commercial,626958,10.69,419.4004,3925.07015
2022-09,OK,Oklahoma,COM,commercial,301474,11.58,235.96151,2037.34213
2022-09,OR,Oregon,COM,commercial,244851,9.33,128.62939,1378.59088
2022-09,PA,Pennsylvania,COM,commercial,731384,11.63,358.71412,3083.86132
2024-04,MAT,Middle Atlantic,COM,commercial,2438773,15.13,1625.24997,10744.33883
2024-04,ENC,East North Central,COM,commercial,2573881,12.2,1643.47938,13466.32693
