period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,month,year
2008-01-01,US,U.S. Total,ALL,all sectors,143412299.0,8.92,29095.57356,326214.57102,1,2008
2008-01-01,US,U.S. Total,RES,residential,125087168.0,10.14,13523.94174,133368.44196,1,2008
2008-01-01,US,U.S. Total,COM,commercial,17571147.0,9.39,10243.48607,109061.27815,1,2008
2008-01-01,US,U.S. Total,TRA,transportation,696.0,9.52,66.05377,694.09968,1,2008
2008-01-01,US,U.S. Total,IND,industrial,753288.0,6.33,5262.09198,83090.75123,1,2008
2008-02-01,US,U.S. Total,IND,industrial,746771.0,6.34,5165.28168,81484.31279,2,2008
2008-02-01,US,U.S. Total,COM,commercial,17465070.0,9.46,9873.34409,104396.86107,2,2008
2008-02-01,US,U.S. Total,ALL,all sectors,142816242.0,8.9,27150.32587,305094.91897,2,2008
2008-02-01,US,U.S. Total,TRA,transportation,701.0,10.06,66.4222,660.09922,2,2008
2008-02-01,US,U.S. Total,RES,residential,124603700.0,10.16,12045.27791,118553.64589,2,2008
2008-03-01,US,U.S. Total,TRA,transportation,713.0,10.14,63.91899,630.24222,3,2008
2008-03-01,US,U.S. Total,RES,residential,124880315.0,10.45,11198.34565,107162.48294,3,2008
2008-03-01,US,U.S. Total,IND,industrial,807188.0,6.46,5393.05493,83497.98014,3,2008
2008-03-01,US,U.S. Total,COM,commercial,17509854.0,9.62,9935.91881,103334.63273,3,2008
2008-03-01,US,U.S. Total,ALL,all sectors,143198070.0,9.03,26591.23838,294625.33802,3,2008
2008-04-01,US,U.S. Total,RES,residential,124835939.0,10.93,10075.29339,92165.89406,4,2008
2008-04-01,US,U.S. Total,TRA,transportation,715.0,10.06,61.80788,614.46408,4,2008
2008-04-01,US,U.S. Total,IND,industrial,751426.0,6.64,5559.06351,83695.60892,4,2008
2008-04-01,US,U.S. Total,COM,commercial,17530143.0,9.79,9937.65085,101487.44971,4,2008
2008-04-01,US,U.S. Total,ALL,all sectors,143118223.0,9.22,25633.81563,277963.41678,4,2008
2008-05-01,US,U.S. Total,IND,industrial,757785.0,6.75,5935.34769,87963.07225,5,2008
2008-05-01,US,U.S. Total,RES,residential,124847257.0,11.4,10517.08946,92245.62751,5,2008
2008-05-01,US,U.S. Total,COM,commercial,17561292.0,10.05,10797.90645,107473.48707,5,2008
