period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2023-12,KY,Kentucky,TRA,transportation,0,0,0,0
2023-12,LA,Louisiana,ALL,all sectors,2455701,8.69,614.41323,7074.35436
2023-12,LA,Louisiana,COM,commercial,299081,10.75,182.7784,1700.61443
2023-12,LA,Louisiana,IND,industrial,18191,5.84,185.3438,3175.74584
2023-12,LA,Louisiana,OTH,other,,,,
2023-12,LA,Louisiana,RES,residential,2138428,11.21,246.20195,2197.19995
2023-12,LA,Louisiana,TRA,transportation,1,11.22,.08909,.79415
2023-12,ME,Maine,ALL,all sectors,851039,22.14,201.39012,909.57582
2023-12,ME,Maine,COM,commercial,109856,19.04,59.48103,312.3855
2023-12,ME,Maine,IND,industrial,2000,13.7,24.19577,176.63749
2023-12,ME,Maine,OTH,other,,,,
2023-12,ME,Maine,RES,residential,739183,27.99,117.71331,420.55284
2023-12,ME,Maine,TRA,transportation,0,0,0,0
2023-12,MD,Maryland,ALL,all sectors,2712852,14.96,737.07054,4927.44023
2023-12,MD,Maryland,COM,commercial,261535,12.84,279.87612,2180.03502
2023-12,MD,Maryland,IND,industrial,9256,10.17,28.94694,284.50093
2023-12,MD,Maryland,OTH,other,,,,
2023-12,MD,Maryland,RES,residential,2442056,17.46,424.42906,2430.26293
2023-12,MD,Maryland,TRA,transportation,5,11.7,3.81842,32.64136
2023-12,MA,Massachusetts,ALL,all sectors,3353826,23.1,927.81839,4017.08953
2023-12,MA,Massachusetts,COM,commercial,454710,19.74,378.51343,1917.87744
2023-12,MA,Massachusetts,IND,industrial,10354,17.66,82.7302,468.39194
2023-12,MA,Massachusetts,OTH,other,,,,
2023-12,MA,Massachusetts,RES,residential,2888760,28.94,464.87064,1606.24774
2023-12,MA,Massachusetts,TRA,transportation,2,6.94,1.70412,24.57242
2023-12,MI,Michigan,ALL,all sectors,5071884,13.78,1107.77412,8039.68803
2023-12,MI,Michigan,COM,commercial,561050,13.23,391.09,2955.8464
2023-12,MI,Michigan,IND,industrial,5673,8.29,186.42009,2248.3793
2023-12,MI,Michigan,OTH,other,,,,
