period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,year,month
2008-01-01,WV,West Virginia,TRA,transportation,1.0,9.86,0.02684,0.27214,2008,1
2008-01-01,WI,Wisconsin,COM,commercial,333167.0,8.63,171.79754,1991.81148,2008,1
2008-01-01,AL,Alabama,COM,commercial,370067.0,9.07,165.45544,1823.36662,2008,1
2008-01-01,AL,Alabama,ALL,all sectors,2481578.0,7.68,611.56793,7959.03288,2008,1
2008-01-01,AL,Alabama,IND,industrial,9161.0,5.3,160.47007,3029.43364,2008,1
2008-01-01,WI,Wisconsin,IND,industrial,4217.0,6.12,125.39955,2047.6726,2008,1
2008-01-01,WI,Wisconsin,ALL,all sectors,2918214.0,8.56,540.72439,6318.71213,2008,1
2008-01-01,FL,Florida,ALL,all sectors,9612399.0,10.18,1877.82102,18439.36443,2008,1
2008-01-01,AZ,Arizona,RES,residential,2538390.0,8.85,232.80185,2631.99926,2008,1
2008-01-01,AZ,Arizona,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,AR,Arkansas,ALL,all sectors,1507790.0,6.6,263.97882,3998.72387,2008,1
2008-01-01,KS,Kansas,ALL,all sectors,1500208.0,6.44,218.9372,3400.58814,2008,1
2008-01-01,KS,Kansas,COM,commercial,233267.0,6.47,78.77823,1218.53843,2008,1
2008-01-01,KS,Kansas,IND,industrial,19294.0,4.9,44.08721,900.02849,2008,1
2008-01-01,KS,Kansas,RES,residential,1247647.0,7.49,96.07175,1282.02122,2008,1
2008-01-01,KS,Kansas,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,KY,Kentucky,ALL,all sectors,2227827.0,5.56,489.32561,8799.07586,2008,1
2008-01-01,KY,Kentucky,COM,commercial,295928.0,6.51,108.01104,1659.16352,2008,1
2008-01-01,KY,Kentucky,IND,industrial,6330.0,4.19,178.47545,4258.40163,2008,1
2008-01-01,KY,Kentucky,RES,residential,1925569.0,7.04,202.83911,2881.51071,2008,1
2008-01-01,CA,California,TRA,transportation,456.0,7.71,5.7828,75.02505,2008,1
2008-01-01,CA,California,RES,residential,13310410.0,13.73,1177.33679,8576.32181,2008,1
2008-01-01,CA,California,IND,industrial,76967.0,9.01,353.72745,3925.52432,2008,1
2008-01-01,US,U.S. Total,RES,residential,125087168.0,10.14,13523.94174,133368.44196,2008,1
2008-01-01,US,U.S. Total,COM,commercial,17571147.0,9.39,10243.48607,109061.27815,2008,1
2008-01-01,PACN,Pacific Noncontiguous,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,WV,West Virginia,RES,residential,863900.0,6.58,91.50026,1390.44377,2008,1
2008-01-01,AR,Arkansas,COM,commercial,175032.0,6.7,60.05898,896.50912,2008,1
2008-01-01,US,U.S. Total,ALL,all sectors,143412299.0,8.92,29095.57356,326214.57102,2008,1
2008-01-01,KY,Kentucky,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,MT,Montana,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,AR,Arkansas,RES,residential,1304252.0,7.94,133.52438,1682.42367,2008,1
2008-01-01,AR,Arkansas,TRA,transportation,2.0,10.65,0.00386,0.03627,2008,1
2008-01-01,CA,California,ALL,all sectors,15256818.0,11.55,2612.35,22619.92118,2008,1
2008-01-01,CA,California,COM,commercial,1868985.0,10.71,1075.50296,10043.05,2008,1
2008-01-01,WV,West Virginia,IND,industrial,11939.0,4.0,49.92963,1248.17608,2008,1
2008-01-01,AR,Arkansas,IND,industrial,28504.0,4.96,70.3916,1419.75481,2008,1
2008-01-01,LA,Louisiana,ALL,all sectors,2195097.0,7.86,521.32847,6634.73194,2008,1
2008-01-01,LA,Louisiana,COM,commercial,263244.0,8.77,157.78976,1800.04733,2008,1
2008-01-01,LA,Louisiana,IND,industrial,20831.0,6.47,150.58214,2325.74458,2008,1
2008-01-01,CO,Colorado,TRA,transportation,1.0,6.91,0.296,4.281,2008,1
2008-01-01,CT,Connecticut,ALL,all sectors,1612550.0,16.93,460.26603,2718.81064,2008,1
2008-01-01,ESC,East South Central,ALL,all sectors,9305103.0,6.99,2086.95567,29863.361,2008,1
2008-01-01,ESC,East South Central,IND,industrial,24767.0,5.0,567.65496,11351.9648,2008,1
2008-01-01,CT,Connecticut,COM,commercial,155263.0,15.74,178.22498,1132.36854,2008,1
2008-01-01,CT,Connecticut,IND,industrial,5329.0,15.22,41.65963,273.73471,2008,1
2008-01-01,CO,Colorado,RES,residential,2165677.0,8.95,155.75809,1739.71213,2008,1
2008-01-01,CT,Connecticut,RES,residential,1451953.0,18.35,237.91483,1296.41343,2008,1
2008-01-01,DE,Delaware,ALL,all sectors,440528.0,11.54,121.29127,1050.667,2008,1
2008-01-01,DE,Delaware,COM,commercial,48696.0,11.26,41.37355,367.60048,2008,1
2008-01-01,DE,Delaware,IND,industrial,622.0,10.07,24.06872,238.93387,2008,1
2008-01-01,DE,Delaware,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
2008-01-01,DC,District of Columbia,IND,industrial,1.0,10.02,2.46539,24.59911,2008,1
2008-01-01,CT,Connecticut,TRA,transportation,5.0,15.14,2.46659,16.29396,2008,1
2008-01-01,AL,Alabama,RES,residential,2102350.0,9.2,285.64242,3106.23262,2008,1
2008-01-01,CO,Colorado,COM,commercial,358346.0,7.38,120.85864,1638.40985,2008,1
2008-01-01,LA,Louisiana,RES,residential,1910997.0,8.49,212.91807,2508.57523,2008,1
2008-01-01,LA,Louisiana,TRA,transportation,25.0,10.55,0.0385,0.36479,2008,1
2008-01-01,ME,Maine,ALL,all sectors,784408.0,13.92,146.87361,1055.08688,2008,1
2008-01-01,ME,Maine,COM,commercial,87363.0,13.32,45.48509,341.53845,2008,1
2008-01-01,ME,Maine,IND,industrial,2822.0,11.82,31.26917,264.53793,2008,1
2008-01-01,CO,Colorado,IND,industrial,12988.0,5.59,60.40626,1080.76365,2008,1
2008-01-01,ME,Maine,RES,residential,694223.0,15.62,70.11935,449.01049,2008,1
2008-01-01,MD,Maryland,ALL,all sectors,2424336.0,12.1,695.59589,5749.7256,2008,1
2008-01-01,MD,Maryland,COM,commercial,240705.0,11.6,289.6276,2496.2498,2008,1
2008-01-01,MD,Maryland,IND,industrial,8823.0,9.93,45.0679,453.83259,2008,1
