period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2023-12,LA,Louisiana,RES,residential,2138428,11.21,246.20195,2197.19995
2023-12,ME,Maine,RES,residential,739183,27.99,117.71331,420.55284
2023-12,MD,Maryland,RES,residential,2442056,17.46,424.42906,2430.26293
2023-12,MA,Massachusetts,RES,residential,2888760,28.94,464.87064,1606.24774
2023-12,MI,Michigan,RES,residential,4505159,18.7,530.20302,2835.0164
2022-06,PACN,Pacific Noncontiguous,RES,residential,739606,36.61,132.89343,362.98627
2024-01,IN,Indiana,RES,residential,3005342,14,490.21554,3501.96473
2024-01,IA,Iowa,RES,residential,1462375,11.85,188.57519,1591.32125
2024-01,KS,Kansas,RES,residential,1332679,13.04,184.09151,1411.37767
2024-01,KY,Kentucky,RES,residential,2051283,12.51,378.24119,3023.52996
2024-01,LA,Louisiana,RES,residential,2169529,10.82,309.51655,2861.46841
2024-07,MA,Massachusetts,RES,residential,2958379,28.76,593.02694,2062.02961
2024-07,MI,Michigan,RES,residential,4532753,19.71,720.37224,3655.76634
2024-07,MN,Minnesota,RES,residential,2606143,16.34,366.97486,2245.70576
2024-07,MS,Mississippi,RES,residential,1375986,13.03,280.98497,2155.98382
2024-07,MO,Missouri,RES,residential,2894685,14.72,562.98942,3824.31019
2024-07,MT,Montana,RES,residential,559452,13.44,62.40018,464.3804
2024-07,NE,Nebraska,RES,residential,913521,12.28,135.61075,1103.96063
2024-07,NV,Nevada,RES,residential,1311736,13.56,306.25994,2257.74982
2024-07,NH,New Hampshire,RES,residential,650264,21.71,120.04761,552.93593
2024-07,NJ,New Jersey,RES,residential,3726175,20.72,887.22718,4281.4278
2024-07,NM,New Mexico,RES,residential,918601,15.37,129.51763,842.40407
2024-07,AL,Alabama,RES,residential,2407299,14.94,543.21016,3636.58344
2024-07,AK,Alaska,RES,residential,300489,25.65,37.28907,145.35702
2024-07,AZ,Arizona,RES,residential,3093942,14.85,857.94897,5776.73421
2024-07,AR,Arkansas,RES,residential,1485484,12.4,258.23077,2081.94174
2024-07,CA,California,RES,residential,14378303,32.55,3263.61011,10026.11346
2024-07,CO,Colorado,RES,residential,2496728,15.47,350.28027,2263.83999
2024-07,CT,Connecticut,RES,residential,1550609,27.97,421.46339,1506.71934
2024-07,DE,Delaware,RES,residential,470302,15.49,92.35612,596.04979
2024-07,DC,District of Columbia,RES,residential,318839,17.07,50.57189,296.26059
2024-07,FL,Florida,RES,residential,10407926,13.75,2085.68519,15171.88304
2024-07,GA,Georgia,RES,residential,4827323,15.21,1061.74912,6982.84069
2024-07,HI,Hawaii,RES,residential,446321,42.67,97.52831,228.54911
2024-07,ID,Idaho,RES,residential,864502,12.24,115.84039,946.69066
2024-07,IL,Illinois,RES,residential,5370089,15.31,780.1926,5094.94349
2024-07,IN,Indiana,RES,residential,3003998,14.8,512.94906,3466.54285
2024-07,IA,Iowa,RES,residential,1467681,14.94,218.45639,1462.69777
2024-07,KS,Kansas,RES,residential,1346946,14.97,246.8287,1649.35657
2024-07,KY,Kentucky,RES,residential,2041469,12.47,359.15792,2880.19708
2024-07,LA,Louisiana,RES,residential,2184349,11.5,416.05535,3618.60869
2024-07,ME,Maine,RES,residential,753942,22.6,93.86868,415.35578
2024-07,MD,Maryland,RES,residential,2449090,17.25,535.30922,3102.87381
2022-09,NE,Nebraska,RES,residential,880941,12.02,102.33673,851.36451
2022-09,NV,Nevada,RES,residential,1272927,13.77,210.40723,1527.72291
2022-09,NH,New Hampshire,RES,residential,644087,32.26,116.40482,360.78181
2022-09,NJ,New Jersey,RES,residential,3684170,16.59,400.99737,2417.13795
2022-09,NY,New York,RES,residential,7336278,23.95,1166.84,4871.89367
2022-09,NC,North Carolina,RES,residential,4879131,12.64,608.84454,4817.81107
2022-09,ND,North Dakota,RES,residential,393118,13.06,40.55454,310.5769
2022-09,OH,Ohio,RES,residential,5073798,14.94,596.47536,3992.805
2022-09,OK,Oklahoma,RES,residential,1844629,14.2,311.16298,2191.69105
2022-09,OR,Oregon,RES,residential,1830145,11.78,158.48671,1345.16416
2024-04,NEW,New England,RES,residential,6612006,27.29,956.91119,3506.85155
2024-04,MAT,Middle Atlantic,RES,residential,16692158,20.18,1837.26449,9104.67391
2024-04,ENC,East North Central,RES,residential,20936161,17,2083.4855,12257.66271
2024-04,WNC,West North Central,RES,residential,10027045,13.3,949.02022,7137.15267
2024-04,SAT,South Atlantic,RES,residential,30544182,14.98,3673.07999,24513.13648
2024-04,ESC,East South Central,RES,residential,8884241,13.89,1046.45874,7535.05292
2024-04,WSC,West South Central,RES,residential,17822525,14.21,1968.7966,13852.41339
2024-04,MTN,Mountain,RES,residential,10711015,14.19,987.0861,6958.64504
2024-04,PACC,Pacific Contiguous,RES,residential,19290774,24.5,2426.3807,9901.59534
2024-04,PACN,Pacific Noncontiguous,RES,residential,745650,35.94,129.00727,358.96203
2024-04,US,U.S. Total,RES,residential,142265757,16.88,16057.49078,95126.14604
2024-04,OK,Oklahoma,RES,residential,1889113,12.46,171.64751,1378.12656
2024-04,OR,Oregon,RES,residential,1870024,14.6,211.367,1447.60226
2023-03,PACC,Pacific Contiguous,RES,residential,19696684,21.13,2683.8432,12703.94522
2023-03,PACN,Pacific Noncontiguous,RES,residential,741659,34.25,141.23636,412.37796
2023-03,US,U.S. Total,RES,residential,141448955,16.04,17716.08355,110416.92317
2023-12,AL,Alabama,RES,residential,2354106,14.16,376.87637,2662.00839
2023-12,AK,Alaska,RES,residential,296928,24.22,51.23789,211.54365
2023-12,AZ,Arizona,RES,residential,3102198,14.42,348.17475,2415.12641
2023-12,AR,Arkansas,RES,residential,1466787,11.54,171.93562,1489.3931
2023-12,CA,California,RES,residential,14151928,29.12,1906.13599,6546.37466
2023-12,CO,Colorado,RES,residential,2534432,14.18,244.76267,1726.25364
2023-12,CT,Connecticut,RES,residential,1545245,26.89,311.90239,1159.97818
2023-12,DE,Delaware,RES,residential,471241,16.3,69.93089,429.09562
2023-12,DC,District of Columbia,RES,residential,315506,17.82,33.3355,187.07923
2023-12,FL,Florida,RES,residential,10299290,15.2,1384.47308,9107.45719
2023-12,GA,Georgia,RES,residential,4739898,12.72,632.07424,4968.88132
2023-12,HI,Hawaii,RES,residential,446136,41.6,100.00768,240.42274
2023-12,ID,Idaho,RES,residential,856101,11.53,116.21006,1008.20369
2023-12,IL,Illinois,RES,residential,5419207,14.84,534.82634,3604.64755
2023-12,IN,Indiana,RES,residential,3037338,14.58,398.52575,2733.2446
2023-12,IA,Iowa,RES,residential,1443740,11.95,159.78164,1336.61746
2023-12,KS,Kansas,RES,residential,1314048,12.72,131.15282,1031.08232
2023-12,KY,Kentucky,RES,residential,2068573,12.34,272.21286,2205.13406
2009-10,NM,New Mexico,RES,residential,847050,10.36,46.9517,453.37758
2009-10,NY,New York,RES,residential,6924438,18.17,658.27749,3623.61264
2009-10,NC,North Carolina,RES,residential,4184137,10.64,388.17091,3649.11635
